GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Chance_of_Admit_Y_N
337,118,4,4.5,4.5,9.65,1,0.92,TRUE
308,101,2,3,4,7.9,0,0.68,TRUE
314,103,2,2,3,8.21,0,0.65,TRUE
316,104,3,3,3.5,8,1,0.72,TRUE
302,102,1,2,1.5,8,0,0.5,TRUE
322,110,3,3.5,2.5,8.67,1,0.8,TRUE
324,107,4,4,4.5,8.87,1,0.76,TRUE
330,115,5,4.5,3,9.34,1,0.9,TRUE
321,109,3,3,4,8.2,1,0.75,TRUE
323,108,3,3.5,3,8.6,0,0.45,FALSE
325,106,3,3.5,4,8.4,1,0.52,TRUE
327,111,4,4,4.5,9,1,0.84,TRUE
328,112,4,4,4.5,9.1,1,0.78,TRUE
307,109,3,4,3,8,1,0.62,TRUE
311,104,3,3.5,2,8.2,1,0.61,TRUE
314,105,3,3.5,2.5,8.3,0,0.54,TRUE
317,107,3,4,3,8.7,0,0.66,TRUE
319,106,3,4,3,8,1,0.65,TRUE
318,110,3,4,3,8.8,0,0.63,TRUE
303,102,3,3.5,3,8.5,0,0.62,TRUE
312,107,3,3,2,7.9,1,0.64,TRUE
325,114,4,3,2,8.4,0,0.7,TRUE
328,116,5,5,5,9.5,1,0.94,TRUE
334,119,5,5,4.5,9.7,1,0.95,TRUE
336,119,5,4,3.5,9.8,1,0.97,TRUE
340,120,5,4.5,4.5,9.6,1,0.94,TRUE
322,109,5,4.5,3.5,8.8,0,0.76,TRUE
298,98,2,1.5,2.5,7.5,1,0.44,FALSE
295,93,1,2,2,7.2,0,0.46,FALSE
310,99,2,1.5,2,7.3,0,0.54,TRUE
300,97,2,3,3,8.1,1,0.65,TRUE
327,103,3,4,4,8.3,1,0.74,TRUE
338,118,4,3,4.5,9.4,1,0.91,TRUE
340,114,5,4,4,9.6,1,0.9,TRUE
331,112,5,4,5,9.8,1,0.94,TRUE
320,110,5,5,5,9.2,1,0.88,TRUE
299,106,2,4,4,8.4,0,0.64,TRUE
300,105,1,1,2,7.8,0,0.58,TRUE
304,105,1,3,1.5,7.5,0,0.52,TRUE
307,108,2,4,3.5,7.7,0,0.48,FALSE
308,110,3,3.5,3,8,1,0.46,FALSE
316,105,2,2.5,2.5,8.2,1,0.49,FALSE
313,107,2,2.5,2,8.5,1,0.53,TRUE
332,117,4,4.5,4,9.1,0,0.87,TRUE
326,113,5,4.5,4,9.4,1,0.91,TRUE
322,110,5,5,4,9.1,1,0.88,TRUE
329,114,5,4,5,9.3,1,0.86,TRUE
339,119,5,4.5,4,9.7,0,0.89,TRUE
321,110,3,3.5,5,8.85,1,0.82,TRUE
327,111,4,3,4,8.4,1,0.78,TRUE
313,98,3,2.5,4.5,8.3,1,0.76,TRUE
Medium,Medium,2,1.5,3.5,Low,1,0.56,TRUE
High,High,4,4,3,Medium,1,0.78,TRUE
Medium,High,4,4,2.5,Medium,1,0.72,TRUE
Medium,Medium,3,3,3.5,Medium,0,0.7,TRUE
Medium,Medium,3,3,3,Low,0,0.64,TRUE
Medium,Medium,3,2,3,Low,0,0.64,TRUE
Low,Low,2,4,2,Low,0,0.46,FALSE
Low,Low,1,3,2,Low,1,0.36,FALSE
Medium,Medium,2,2,2,Medium,0,0.42,FALSE
Low,Medium,2,3,3,Medium,0,0.48,FALSE
Low,Medium,3,4,3,Medium,0,0.47,FALSE
Low,Medium,2,3,3,Medium,1,0.54,TRUE
Medium,Medium,2,4,3,Medium,1,0.56,TRUE
High,High,3,3,3.5,Medium,0,0.52,TRUE
High,High,4,3.5,3.5,Medium,0,0.55,TRUE
High,High,3,3,3,High,0,0.61,TRUE
Medium,High,2,3.5,3.5,Medium,1,0.57,TRUE
Medium,High,3,3.5,4,High,1,0.68,TRUE
High,High,4,4.5,4,High,1,0.78,TRUE
High,High,5,5,5,High,1,0.94,TRUE
High,High,5,5,5,High,1,0.96,TRUE
Medium,High,5,5,5,High,1,0.93,TRUE
Medium,Medium,4,4.5,4,High,1,0.84,TRUE
Medium,Medium,3,3,5,Medium,0,0.74,TRUE
High,Medium,2,2,4,Medium,1,0.72,TRUE
High,Medium,3,3,3,Medium,1,0.74,TRUE
Low,Low,2,3,2,Medium,0,0.64,TRUE
Low,Low,2,3,2,Low,1,0.44,FALSE
Low,Low,1,1.5,2,Low,0,0.46,FALSE
Medium,Medium,3,2,3,Medium,1,0.5,TRUE
340,120,4,5,5,9.5,1,0.96,TRUE
320,110,5,5,4.5,9.22,1,0.92,TRUE
322,115,5,4,4.5,9.36,1,0.92,TRUE
340,115,5,4.5,4.5,9.45,1,0.94,TRUE
319,103,4,4.5,3.5,8.66,0,0.76,TRUE
315,106,3,4.5,3.5,8.42,0,0.72,TRUE
